,Actual Profit ($),Actual Sales (Qty),Actual Cost of Goods Sold  (COGS) ($),Actual Total Expenses ($),Inventory (Qty),Budget Profit ($),Budget Sales (Qty),Budget COGS ($),Date,Market,Province,City,Store#,Market Size,Product Type,Product,Type,Sales Outlier
0,0,17,245,126,1419,-240,0,160,2019-01-31,Central,Ontario,Toronto ,702,Small Market,Tea,Green Tea,Regular,Normal
1,0,61,105,128,725,-170,50,100,2019-01-31,Atlantic,PEI,Charlottetown,315,Major Market,Espresso,Caffe Mocha,Regular,Normal
2,0,118,144,91,862,-120,140,180,2019-01-31,West,British Columbia,Bunaby,685,Major Market,Coffee,Decaf Irish Cream,Decaf,Normal
3,0,180,207,86,965,-70,140,150,2019-01-31,Atlantic,PEI,Charlottetown,845,Major Market,Herbal Tea,Mint,Decaf,Normal
4,0,99,88,51,525,-30,80,70,2019-01-31,Atlantic,New Brunswick,Saint John ,591,Small Market,Herbal Tea,Mint,Decaf,Normal
5,0,99,88,50,525,-30,120,110,2019-01-31,Atlantic,New Brunswick,Moncton,505,Small Market,Coffee,Decaf Irish Cream,Decaf,Normal
6,0,99,88,50,525,-20,80,70,2019-01-31,North,Nunavut,Iqaluit,314,Small Market,Herbal Tea,Lemon,Decaf,Normal
7,0,126,63,86,435,-10,120,60,2019-01-31,Atlantic,Newfoundland,St. John's,2001,Major Market,Espresso,Caffe Mocha,Regular,Normal
8,0,90,37,64,261,0,70,30,2019-01-31,North,Nunavut,Pangnirtung,573,Small Market,Herbal Tea,Chamomile,Decaf,Normal
9,0,90,37,63,261,-10,70,30,2019-01-31,Atlantic,New Brunswick,Moncton,505,Small Market,Espresso,Caffe Mocha,Regular,Normal
10,0,90,37,63,261,0,60,20,2019-01-31,Atlantic,New Brunswick,Saint John ,591,Small Market,Tea,Darjeeling,Regular,Normal
11,0,90,37,63,261,0,80,30,2019-01-31,North,Northwest Territories,Yellowknife,4001,Small Market,Espresso,Caffe Mocha,Regular,Normal
12,0,65,29,45,169,10,40,10,2019-01-31,Atlantic,New Brunswick,Saint John ,591,Small Market,Tea,Green Tea,Regular,Normal
13,0,65,29,45,169,-10,50,20,2019-01-31,North,Nunavut,Pangnirtung,573,Small Market,Tea,Earl Grey,Regular,Normal
14,0,65,29,44,169,0,50,20,2019-01-31,Atlantic,New Brunswick,Moncton,505,Small Market,Espresso,Caffe Latte,Regular,Normal
15,0,65,29,44,169,0,60,20,2019-01-31,North,Northwest Territories,Yellowknife,4001,Small Market,Espresso,Regular Espresso,Regular,Normal
16,0,76,34,46,197,0,50,20,2019-01-31,North,Northwest Territories,Yellowknife,4001,Small Market,Herbal Tea,Lemon,Decaf,Normal
17,0,76,34,46,197,0,60,20,2019-01-31,North,Nunavut,Kugluktuk,417,Small Market,Tea,Green Tea,Regular,Normal
18,0,76,34,45,197,10,90,40,2019-01-31,Central,Ontario,Toronto ,702,Small Market,Coffee,Colombian,Regular,Normal
19,0,145,95,52,608,30,180,110,2019-01-31,West,British Columbia,Bunaby,685,Major Market,Coffee,Amaretto,Regular,Normal
20,0,150,63,87,435,20,130,50,2019-01-31,Prairie,Alberta,Calgary,303,Major Market,Herbal Tea,Lemon,Decaf,Normal
21,0,150,63,87,435,20,150,60,2019-01-31,West,British Columbia,Kelowna,670,Major Market,Coffee,Decaf Irish Cream,Decaf,Normal
22,1,150,63,86,435,40,180,70,2019-01-31,Central,Ontario,Ottawa,541,Small Market,Coffee,Amaretto,Regular,Normal
23,4,62,28,30,965,20,60,20,2019-01-31,Atlantic,New Brunswick,Moncton,505,Small Market,Herbal Tea,Lemon,Decaf,Normal
24,4,62,28,30,965,20,70,30,2019-01-31,Central,Ontario,Toronto ,775,Small Market,Coffee,Decaf Irish Cream,Decaf,Normal
25,5,62,28,29,965,20,60,20,2019-01-31,Atlantic,Nova Scotia,Halifax,6300,Small Market,Coffee,Colombian,Regular,Normal
26,7,180,75,98,522,20,170,70,2019-01-31,Prairie,Manitoba,Winnipeg,1001,Small Market,Espresso,Caffe Mocha,Regular,Normal
27,7,180,75,98,522,10,150,60,2019-01-31,Atlantic,Newfoundland,Paradise,2500,Small Market,Tea,Earl Grey,Regular,Normal
28,8,180,75,97,522,20,120,40,2019-01-31,Atlantic,Nova Scotia,Truro,6520,Small Market,Tea,Green Tea,Regular,Normal
29,8,180,75,97,522,10,150,60,2019-01-31,North,Yukon,Whitehorse,504,Small Market,Espresso,Caffe Latte,Regular,Normal
30,9,82,35,38,196,10,70,30,2019-01-31,Atlantic,New Brunswick,Moncton,505,Small Market,Espresso,Decaf Espresso,Decaf,Normal
31,9,82,35,38,196,10,50,20,2019-01-31,Atlantic,New Brunswick,Saint John ,591,Small Market,Tea,Earl Grey,Regular,Normal
32,9,190,79,102,551,20,190,80,2019-01-31,Atlantic,Newfoundland,Paradise,2500,Small Market,Coffee,Colombian,Regular,Normal
33,9,190,79,102,551,60,230,90,2019-01-31,Atlantic,Nova Scotia,Truro,6520,Small Market,Coffee,Decaf Irish Cream,Decaf,Normal
34,9,82,35,38,196,10,70,30,2019-01-31,North,Nunavut,Iqaluit,314,Small Market,Tea,Darjeeling,Regular,Normal
35,9,190,79,102,551,30,180,70,2019-01-31,Prairie,Saskatchewan,Saskatoon,239,Major Market,Espresso,Caffe Mocha,Regular,Normal
36,10,45,18,17,821,20,40,10,2019-01-31,North,Northwest Territories,Yellowknife,4001,Small Market,Tea,Darjeeling,Regular,Normal
37,10,43,17,16,777,30,50,10,2019-01-31,Atlantic,Nova Scotia,Halifax,6300,Small Market,Espresso,Decaf Espresso,Decaf,Normal
38,10,45,18,17,821,20,40,10,2019-01-31,Central,Ontario,Toronto ,702,Small Market,Espresso,Caffe Mocha,Regular,Normal
39,10,190,79,101,551,30,180,70,2019-01-31,Central,Quebec,Sherbrooke,580,Small Market,Herbal Tea,Lemon,Decaf,Normal
40,11,45,18,16,821,20,40,10,2019-01-31,Atlantic,New Brunswick,Moncton,505,Small Market,Herbal Tea,Chamomile,Decaf,Normal
41,11,43,17,15,777,20,40,10,2019-01-31,North,Northwest Territories,Yellowknife,4001,Small Market,Tea,Green Tea,Regular,Normal
42,11,45,18,16,821,20,40,10,2019-01-31,Atlantic,Nova Scotia,Halifax,6300,Small Market,Coffee,Amaretto,Regular,Normal
43,11,43,17,15,777,30,50,10,2019-01-31,Atlantic,Nova Scotia,Halifax,6300,Small Market,Espresso,Caffe Mocha,Regular,Normal
